"","time_period","time_identifier","geographic_level","country_code","country_name","region_code","region_name","grade","gender","full_time_equivalent","headcount"
"1",202122,"Academic year","National","E92000001","England","","","Total","Total",465526.1779,512007.8697
"2",202122,"Academic year","National","E92000001","England","","","Head teacher","Total",22105.50137,22385.22188
"3",202122,"Academic year","National","E92000001","England","","","Deputy head teacher","Total",18154.00238,18665.46974
"4",202122,"Academic year","National","E92000001","England","","","Assistant head teacher","Total",30513.93727,31786.61889
"5",202122,"Academic year","National","E92000001","England","","","Classroom teacher","Total",394752.7369,439170.5592
"6",202122,"Academic year","National","E92000001","England","","","Total","Male",120160.1749,124015.571
"7",202122,"Academic year","National","E92000001","England","","","Head teacher","Male",7196.503825,7240.602688
"8",202122,"Academic year","National","E92000001","England","","","Deputy head teacher","Male",5340.32167,5364.066847
"9",202122,"Academic year","National","E92000001","England","","","Assistant head teacher","Male",9530.669477,9634.622
"10",202122,"Academic year","National","E92000001","England","","","Classroom teacher","Male",98092.67997,101776.2795
"11",202122,"Academic year","National","E92000001","England","","","Total","Female",344229.0953,386720.4953
"12",202122,"Academic year","National","E92000001","England","","","Head teacher","Female",14818.94461,15052.91409
"13",202122,"Academic year","National","E92000001","England","","","Deputy head teacher","Female",12755.13071,13241.40289
"14",202122,"Academic year","National","E92000001","England","","","Assistant head teacher","Female",20931.54974,22097.64158
"15",202122,"Academic year","National","E92000001","England","","","Classroom teacher","Female",295723.4702,336328.5368
"16",202122,"Academic year","National","E92000001","England","","","Total","Gender Unclassified",1136.907693,1271.803351
"17",202122,"Academic year","National","E92000001","England","","","Head teacher","Gender Unclassified",90.05294274,91.70509805
"18",202122,"Academic year","National","E92000001","England","","","Deputy head teacher","Gender Unclassified",58.55,60
"19",202122,"Academic year","National","E92000001","England","","","Assistant head teacher","Gender Unclassified",51.71805955,54.3553076
"20",202122,"Academic year","National","E92000001","England","","","Classroom teacher","Gender Unclassified",936.5866903,1065.742946
"21",202122,"Academic year","Regional","E92000001","England","E12000001","North East","Total","Total",22144.54,23864
"22",202122,"Academic year","Regional","E92000001","England","E12000001","North East","Head teacher","Total",1146.026836,1162.856464
"23",202122,"Academic year","Regional","E92000001","England","E12000001","North East","Deputy head teacher","Total",1005.217468,1025.712894
"24",202122,"Academic year","Regional","E92000001","England","E12000001","North East","Assistant head teacher","Total",1301.116791,1340.772996
"25",202122,"Academic year","Regional","E92000001","England","E12000001","North East","Classroom teacher","Total",18692.17891,20334.65765
"26",202122,"Academic year","Regional","E92000001","England","E12000001","North East","Total","Male",5427.860797,5579.913064
"27",202122,"Academic year","Regional","E92000001","England","E12000001","North East","Total","Female",16716.6792,18284.08694
"28",202122,"Academic year","Regional","E92000001","England","E12000002","North West","Total","Total",62625.52043,67744.20179
"29",202122,"Academic year","Regional","E92000001","England","E12000002","North West","Head teacher","Total",3231.263849,3262.780933
"30",202122,"Academic year","Regional","E92000001","England","E12000002","North West","Deputy head teacher","Total",2700.702539,2750.953154
"31",202122,"Academic year","Regional","E92000001","England","E12000002","North West","Assistant head teacher","Total",4116.454421,4213.560308
"32",202122,"Academic year","Regional","E92000001","England","E12000002","North West","Classroom teacher","Total",52577.09963,57516.9074
"33",202122,"Academic year","Regional","E92000001","England","E12000002","North West","Total","Male",15705.56245,16124.0809
"34",202122,"Academic year","Regional","E92000001","England","E12000002","North West","Total","Female",46893.10004,51589.10296
"35",202122,"Academic year","Regional","E92000001","England","E12000002","North West","Total","Gender Unclassified",26.85793722,31.01793722
"36",202122,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","Total","Total",45433,49691.5
"37",202122,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","Head teacher","Total",2276.402161,2308.531549
"38",202122,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","Deputy head teacher","Total",1593.935982,1631.549669
"39",202122,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","Assistant head teacher","Total",3284.604924,3398.839416
"40",202122,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","Classroom teacher","Total",38278.05693,42352.57937
"41",202122,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","Total","Male",11849.07954,12207.2486
"42",202122,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","Total","Female",33579.22046,37479.2514
"43",202122,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","Total","Gender Unclassified",4.7,5
"44",202122,"Academic year","Regional","E92000001","England","E12000004","East Midlands","Total","Total",39390.07124,43709.68389
"45",202122,"Academic year","Regional","E92000001","England","E12000004","East Midlands","Head teacher","Total",2052.621203,2077.35022
"46",202122,"Academic year","Regional","E92000001","England","E12000004","East Midlands","Deputy head teacher","Total",1477.107028,1524.963521
"47",202122,"Academic year","Regional","E92000001","England","E12000004","East Midlands","Assistant head teacher","Total",2348.535347,2469.316881
"48",202122,"Academic year","Regional","E92000001","England","E12000004","East Midlands","Classroom teacher","Total",33511.80767,37638.05327
"49",202122,"Academic year","Regional","E92000001","England","E12000004","East Midlands","Total","Male",10242.71912,10570.86986
"50",202122,"Academic year","Regional","E92000001","England","E12000004","East Midlands","Total","Female",29135.00212,33125.81403
